file,sha256,prefix,mode,gui_waves_coefficient,repeat,min_counts,max_counts,negative_pixel_fraction,fraction_at_nominal_full_scale
coma_cos_pos2.0_4.bmg,c4df87d4a94c3f534e51ce32ebab0df86d7400a9dd4ab64585dc1e056af131d5,coma_cos_pos2.0,coma_cos,2.0,4,-50,3323,0.10393357276916504,0.0
coma_sin_ne_1.bmg,93c5783bf14357fc8125e85a8be2e6a9c0b732e576ffd79dc2af15c7de359e2f,coma_sin_ne,coma_sin,-2.0,1,-49,3870,0.1256725788116455,0.0
coma_sin_ne_2.bmg,27156864c62784388c81df03988c278353909a136332fd56795dc3a67d57831f,coma_sin_ne,coma_sin,-2.0,2,-102,3363,0.24128937721252441,0.0
coma_sin_ne_3.bmg,d9485cb313ccdebfda841f5b10bbdec75928ce83195132387f29973d2fe2576b,coma_sin_ne,coma_sin,-2.0,3,-93,3346,0.12860655784606934,0.0
coma_sin_ne_4.bmg,467c78da8c6a87c7223bdb12ead34b2dbf774084cd6f2897f59155c80d88724e,coma_sin_ne,coma_sin,-2.0,4,-102,3415,0.17863154411315918,0.0
coma_sin_po_1.bmg,6d5b1d281321c7c8f09ef8f9cd9372845ff8290baa6562d99502d914e42de1cb,coma_sin_po,coma_sin,2.0,1,-52,2910,0.13065409660339355,0.0
coma_sin_po_2.bmg,208ca29223b64fe83f7dabb3a748dfeefc68415ee9456b38db67d1ce6bc37f58,coma_sin_po,coma_sin,2.0,2,-56,2980,0.13146686553955078,0.0
coma_sin_po_3.bmg,0e6956bb3101ca2b1098aea7dfc9c63c6f61fb78cf81f74047e57bccd1b5ba09,coma_sin_po,coma_sin,2.0,3,-49,2987,0.13356471061706543,0.0
coma_sin_po_4.bmg,ec43dc8bd1679a51a20ba9bae3cd33b104d4ad972ecab5faf0ad34f62dadfc8e,coma_sin_po,coma_sin,2.0,4,-51,3014,0.1621248722076416,0.0
correction_1.bmg,c5fc1cc81409d77fe70b5867516ba6ecbccbba66a2f1579ae1c7170d5aa27951,correction,UNRESOLVED_GAIN_OR_CONDITION,,1,-64,3031,0.21425509452819824,0.0
correction_2.bmg,edf6f4942095efe831663b93c4d4336021971f1cd3d9b5392a93ee5ea89fc23b,correction,UNRESOLVED_GAIN_OR_CONDITION,,2,-52,3392,0.11564493179321289,0.0
correction_3.bmg,991853897425e79d07792e9e0ff50926b0d7af8d89c2d9ee559b422204939ad1,correction,UNRESOLVED_GAIN_OR_CONDITION,,3,-66,3046,0.11366415023803711,0.0
correction_4.bmg,a88b69e3386accf3a48e91e15999e183ec5993326ec568723765d46faf1dc5ea,correction,UNRESOLVED_GAIN_OR_CONDITION,,4,-63,2925,0.15855622291564941,0.0
correction__1.bmg,f287a880474531f09932c976231083a510a495fd7997d321ded29da70885b1bf,correction_,UNRESOLVED_GAIN_OR_CONDITION,,1,-53,3153,0.17447924613952637,0.0
correction__2.bmg,d0fe3e931ccf70edb25d0c3c28d78a8af929a001a08bf663106b1b3b2b68400e,correction_,UNRESOLVED_GAIN_OR_CONDITION,,2,-52,3148,0.12280774116516113,0.0
correction__3.bmg,ffe008174bf2ef59800ad05bad8c525644c74e954c708f172b1ef55327723c93,correction_,UNRESOLVED_GAIN_OR_CONDITION,,3,-52,3163,0.13310718536376953,0.0
correction__4.bmg,5df1129a0f385c75715ba2f8363b9a1165726234608dd7ff53ecd1dc896032db,correction_,UNRESOLVED_GAIN_OR_CONDITION,,4,-52,3549,0.185499906539917,0.0
spherical_neg4_1.bmg,e5820880c03fd986658577cd0cb33bc5feb04004117ef7e4ca48948884adde1b,spherical_neg4,spherical,-4.0,1,-92,2576,0.20519781112670898,0.0
spherical_neg4_2.bmg,fd8a3e61639fa499606a46f9bbe1a3bb35b17543258446d2c4fba47245b57b2f,spherical_neg4,spherical,-4.0,2,-104,2655,0.18127107620239258,0.0
spherical_neg4_3.bmg,881bc7bc5a6e1d79eb0339a7beb8fed8664aeb4f6f17dc04b2ee4f03575edb00,spherical_neg4,spherical,-4.0,3,-96,2624,0.13572120666503906,0.0
spherical_neg4_4.bmg,fc6af1fe78b94050138a756d0aa6fd4f2ab39ec708cdb009b092320109449d18,spherical_neg4,spherical,-4.0,4,-97,2977,0.22871041297912598,0.0
spherical_pos4_1.bmg,77bf61ec21266fcee51f6ae233d5fde01baed70976cdcc45595be6918b33c56c,spherical_pos4,spherical,4.0,1,-97,4008,0.12256526947021484,0.0
spherical_pos4_2.bmg,e760b5ca6ca3e85f77f6b4c6bf7b1b36a9760a1b53ccbd855a15c5b48d567f12,spherical_pos4,spherical,4.0,2,-56,4008,0.30477190017700195,0.0
spherical_pos4_3.bmg,75b372f08361fe01fe4e4b80a1b8aee59bc811ff188b1ab69947687239ceedc3,spherical_pos4,spherical,4.0,3,-56,4008,0.22620320320129395,0.0
spherical_pos4_4.bmg,da6d296daa07bb47b3c70ae8b35dd4ebb5f61213e4a5dad5c756490739e04816,spherical_pos4,spherical,4.0,4,-51,4008,0.1935107707977295,0.0
