case_id,grid_n,grid_dx_um,slm_pixel_pitch_um,input_power,post_slm1_power,post_slm2_power,post_4f_selected_power,post_axicon_nominal_power,post_axicon_ideal_power,slm1_power_ratio_to_input,slm2_power_ratio_to_slm1,two_slm_power_ratio_to_input,fourf_power_ratio_to_slm2,fourf_iris_selected_fraction,nominal_pre_axicon_power_ratio_to_continuous_ideal,pre_axicon_complex_overlap_with_continuous_ideal,post_axicon_power_ratio_nominal_over_ideal,z60_peak_ratio_nominal_over_ideal,z60_central_roi_integrated_ratio_nominal_over_ideal,z60_shape_only_max_abs_difference,z60_shape_only_rms_difference
B0,2048,4.8828125,8.0,6.283178103027464e-06,5.843268345149288e-06,5.434239560988837e-06,5.383217671543108e-06,5.383217671543108e-06,6.283178103027464e-06,0.9299861072430509,0.9299999999999998,0.8648870797360372,0.9906110341892169,0.999909063351355,0.8567666845142075,0.9979091107232083,0.8567666845142075,0.858965810807099,0.8587216156073838,0.0006715696817926609,7.567707827737847e-06
V1,2048,4.8828125,8.0,6.283178103027464e-06,5.843268345149288e-06,5.434239560988838e-06,5.3718595499717466e-06,5.3718595499717466e-06,6.283178103027464e-06,0.9299861072430509,0.93,0.8648870797360373,0.9885209309753469,0.9979396294092561,0.8549589812492167,0.9958933374234228,0.8549589812492167,0.8594113339395603,0.8583250217258779,0.00837660833713183,0.00011728794843784255
V3,2048,4.8828125,8.0,6.283178103027464e-06,5.843268345149288e-06,5.434239560988838e-06,5.283629396220612e-06,5.283629396220615e-06,6.283178103027464e-06,0.9299861072430509,0.93,0.8648870797360373,0.9722849603743233,0.9822840344670168,0.8409167000494172,0.9799238178155906,0.8409167000494175,0.8570122747574817,0.8633687707786111,0.026132817231220296,0.0006048357630303192
